path,volume,title,words,em_dash,negative_parallelism,lampshading,empty_opener,hedge_stack,restatement_closer,tapestry_diction,significance_announcer,intensifier,preanswer_flattery,surely,lexical_hits,total_leads,leads_per_1000_words
book/02-conditionalism/25-the-beginning-of-wisdom.md,Volume 2,The Beginning of Wisdom,2578,18,3,0,0,0,0,0,0,6,0,0,9,27,10.47
book/02-conditionalism/volume.md,Volume 2,"Conditionalism: Truth, Bayes, and Rationality",531,11,0,0,0,0,0,0,0,0,0,0,0,11,20.72
book/03-minds-and-machines/01-a-cybernetic-lineage.md,Volume 3,A Cybernetic Lineage,1842,27,12,0,0,0,0,0,0,4,0,0,16,43,23.34
book/03-minds-and-machines/02-what-is-a-model.md,Volume 3,What Is a Model?,1982,19,6,0,0,0,0,1,0,2,0,0,9,28,14.13
book/03-minds-and-machines/03-control-requires-models.md,Volume 3,Control Requires Models,1433,14,3,0,0,0,0,0,0,2,0,1,6,20,13.96
book/03-minds-and-machines/04-minds-and-agents.md,Volume 3,Minds and Agents,1184,14,2,0,0,0,0,0,0,2,0,0,4,18,15.20
book/03-minds-and-machines/05-the-origin-of-meaning.md,Volume 3,The Origin of Meaning,1559,13,6,0,0,0,0,0,0,2,0,0,8,21,13.47
book/03-minds-and-machines/06-the-geometry-of-inner-speech.md,Volume 3,The Geometry of Inner Speech,1525,13,3,0,0,0,0,0,0,4,0,0,7,20,13.11
book/03-minds-and-machines/07-consciousness-explained.md,Volume 3,A Candidate Architecture of Consciousness,1484,17,6,0,0,0,0,1,0,0,0,0,7,24,16.17
book/03-minds-and-machines/08-beyond-dennett.md,Volume 3,Beyond Dennett,1778,12,8,0,0,0,0,0,0,2,0,0,10,22,12.37
book/03-minds-and-machines/09-mirrors-of-the-mind.md,Volume 3,Mirrors of the Mind,1968,13,8,0,0,0,0,2,0,3,0,0,13,26,13.21
book/03-minds-and-machines/10-why-zombies-dont-evolve.md,Volume 3,Why Zombies Don't Evolve,2315,6,6,0,0,0,0,1,1,3,0,0,11,17,7.34
book/03-minds-and-machines/11-the-sentience-ladder.md,Volume 3,The Sentience Ladder,1925,14,16,0,0,0,0,0,0,1,0,0,17,31,16.10
book/03-minds-and-machines/12-what-is-suffering.md,Volume 3,What Is Suffering?,1823,25,4,0,0,0,0,0,0,2,0,0,6,31,17.00
book/03-minds-and-machines/13-the-sentience-metric.md,Volume 3,Tests for Sentience,1792,10,4,0,0,0,0,0,0,1,0,0,5,15,8.37
book/03-minds-and-machines/14-the-ai-welfare-trap.md,Volume 3,The AI Welfare Trap,2273,8,6,0,0,0,0,1,0,1,0,0,8,16,7.04
book/03-minds-and-machines/15-intelligence-is-a-game-we-play.md,Volume 3,Intelligence Is a Game We Play,1835,36,2,0,0,0,0,2,1,0,0,0,5,41,22.34
book/03-minds-and-machines/16-in-defense-of-iq.md,Volume 3,In Defense of IQ,1861,31,7,0,0,0,0,3,0,2,0,0,12,43,23.11
book/03-minds-and-machines/17-universality-and-generality.md,Volume 3,Universality and Generality,1992,24,6,0,0,0,0,1,0,3,0,0,10,34,17.07
book/03-minds-and-machines/18-tool-bias.md,Volume 3,Tool Bias,1913,28,3,0,0,0,0,0,0,4,0,0,7,35,18.30
book/03-minds-and-machines/19-fallacies-of-machine-understanding.md,Volume 3,Fallacies of Machine Understanding,2339,43,11,0,0,0,0,0,0,6,0,0,17,60,25.65
book/03-minds-and-machines/20-pearl-and-the-machine.md,Volume 3,Pearl and the Machine,2084,24,5,0,0,0,0,1,0,0,0,2,8,32,15.36
book/03-minds-and-machines/21-fluency-and-its-limits.md,Volume 3,Fluency and Its Limits,2387,38,8,0,0,0,0,0,0,10,0,0,18,56,23.46
book/03-minds-and-machines/22-the-turing-test-and-its-successors.md,Volume 3,The Turing Test and Its Successors,1835,27,4,0,0,0,0,0,0,2,0,0,6,33,17.98
book/03-minds-and-machines/23-the-agency-criterion.md,Volume 3,The Agency Criterion,2394,36,17,0,0,0,0,1,0,1,0,0,19,55,22.97
book/03-minds-and-machines/24-the-dialectic-catalyst.md,Volume 3,The Dialectic Catalyst,1464,18,2,0,0,0,0,1,0,3,0,0,6,24,16.39
book/03-minds-and-machines/25-the-discipline-of-thinking-with-ai.md,Volume 3,The Discipline of Thinking With AI,2166,34,7,0,0,0,0,1,0,5,0,0,13,47,21.70
book/03-minds-and-machines/26-catalysts-in-the-wild.md,Volume 3,Catalysts in the Wild,1831,24,5,0,0,0,0,2,0,1,0,0,8,32,17.48
book/03-minds-and-machines/27-artificial-intimacy.md,Volume 3,Artificial Intimacy,2392,41,8,0,0,0,0,3,0,2,0,0,13,54,22.58
book/03-minds-and-machines/28-programming-after-programming.md,Volume 3,Programming After Programming,2944,5,3,0,0,0,0,2,0,3,0,0,8,13,4.42
book/03-minds-and-machines/29-the-ai-fork-is-about-agency.md,Volume 3,The AI Fork Is About Agency,2481,35,13,0,0,0,0,3,0,2,0,0,18,53,21.36
book/03-minds-and-machines/30-making-sense-of-pdoom.md,Volume 3,Making Sense of P(doom),1296,16,8,0,0,0,0,1,1,2,0,0,12,28,21.60
book/03-minds-and-machines/31-the-cassandra-and-the-blueprint.md,Volume 3,The Cassandra and the Blueprint,1516,11,5,0,0,0,0,2,0,3,0,0,10,21,13.85
book/03-minds-and-machines/32-steelmanning-doom.md,Volume 3,Steelmanning Doom,1909,29,7,0,0,0,0,3,0,1,0,0,11,40,20.95
book/03-minds-and-machines/33-the-politics-of-safety.md,Volume 3,The Politics of Safety,2949,30,11,0,0,0,0,1,0,0,0,0,12,42,14.24
book/03-minds-and-machines/34-coercion-beats-intelligence.md,Volume 3,Coercion Beats Intelligence,2193,9,11,0,0,0,0,1,0,1,0,0,13,22,10.03
book/03-minds-and-machines/35-the-future-is-extropian.md,Volume 3,The Extropian Crucible,2439,45,8,0,0,0,0,3,0,2,0,0,13,58,23.78
book/03-minds-and-machines/36-passing-the-torch.md,Volume 3,Passing the Torch,1115,17,5,0,0,0,0,0,0,3,0,0,8,25,22.42
book/03-minds-and-machines/volume.md,Volume 3,"Minds and Machines: Consciousness, Intelligence, and AI",357,1,1,0,0,0,0,0,0,2,0,0,3,4,11.20
book/04-axionic-agency/01-beyond-alignment.md,Volume 4,Beyond Alignment,2686,27,16,0,0,0,2,0,2,6,0,0,26,53,19.73
book/04-axionic-agency/02-what-can-be-aligned.md,Volume 4,What Can Be Aligned,2525,26,9,0,0,0,0,0,1,1,0,0,11,37,14.65
book/04-axionic-agency/03-the-reflective-coherence-thesis.md,Volume 4,The Reflective Coherence Thesis,2716,25,7,0,0,0,0,0,0,3,0,0,10,35,12.89
book/04-axionic-agency/04-the-sovereign-kernel.md,Volume 4,The Sovereign Kernel,2376,26,9,0,0,0,0,0,0,4,0,0,13,39,16.41
book/04-axionic-agency/05-reflective-stability.md,Volume 4,Reflective Stability,2359,28,12,0,0,0,0,0,0,4,0,0,16,44,18.65
book/04-axionic-agency/06-structural-alignment.md,Volume 4,Structural Alignment,2611,30,10,0,0,0,0,0,1,1,0,0,12,42,16.09
book/04-axionic-agency/07-what-the-kernel-binds.md,Volume 4,What the Kernel Binds,2798,44,17,0,0,0,0,1,0,1,0,0,19,63,22.52
book/04-axionic-agency/08-verifiable-agency.md,Volume 4,Verifiable Agency,2599,33,16,0,0,0,0,0,0,4,0,0,20,53,20.39
book/04-axionic-agency/09-authority-without-a-self.md,Volume 4,Authority Without a Self,3063,45,17,0,0,0,0,1,4,4,0,0,26,71,23.18
book/04-axionic-agency/10-agency-under-pressure.md,Volume 4,Agency Under Pressure,3150,47,16,0,0,0,0,1,0,1,0,0,18,65,20.63
